loco,DateTime,gps_latitude,gps_longitude,speed
PN8345,10/23/2018 14:00,-20.05717433,148.1502028,17.43338949,5.323649653
PN8345,10/23/2018 14:00,-20.05721833,148.1501825,17.39963329,5.333666103
PN8345,10/23/2018 14:00,-20.05726217,148.1501625,17.37600395,5.302858924
PN8345,10/23/2018 14:00,-20.05730617,148.1501422,17.39963329,5.333665631
PN8345,10/23/2018 14:00,-20.05735033,148.1501218,17.4181992,5.350670349
PN8345,10/23/2018 14:00,-20.05739433,148.1501017,17.38950643,5.326757133
PN8345,10/23/2018 14:00,-20.05743833,148.1500815,17.45364321,5.326756895
PN8345,10/23/2018 14:00,-20.05748233,148.1500612,17.44689197,5.33366468
PN8345,10/23/2018 14:00,-20.05752633,148.1500407,17.44520416,5.340620268
PN8345,10/23/2018 14:00,-20.05757033,148.1500203,17.47220912,5.333664208
PN8345,10/23/2018 14:00,-20.05761433,148.15,17.45364321,5.333663969
PN8345,10/23/2018 14:00,-20.05765833,148.1499797,17.45026759,5.333663735
PN8345,10/23/2018 14:00,-20.0577025,148.1499593,17.47558474,5.350668458
PN8345,10/23/2018 14:00,-20.05774667,148.1499388,17.46039445,5.357601952
PN8345,10/23/2018 14:01,-20.05779083,148.1499185,17.44520416,5.350667984
PN8345,10/23/2018 14:01,-20.057835,148.1498982,17.46714569,5.350667751
PN8345,10/23/2018 14:01,-20.05787917,148.149878,17.47727255,5.343781506
PN8345,10/23/2018 14:01,-20.0579235,148.1498577,17.5194678,5.367682356
PN8345,10/23/2018 14:01,-20.05796767,148.1498372,17.50596532,5.357600744
PN8345,10/23/2018 14:01,-20.058012,148.1498168,17.51440437,5.367681883
PN8345,10/23/2018 14:01,-20.05805617,148.1497965,17.52621904,5.350666559
PN8345,10/23/2018 14:01,-20.05810033,148.149776,17.53128247,5.357600023
PN8345,10/23/2018 14:01,-20.05814467,148.1497555,17.54647276,5.374592917
PN8345,10/23/2018 14:01,-20.05818917,148.149735,17.59879487,5.391595951
PN8345,10/23/2018 14:01,-20.0582335,148.1497145,17.59373144,5.374592434
PN8345,10/23/2018 14:01,-20.058278,148.1496938,17.59035582,5.398532726
PN8345,10/23/2018 14:01,-20.0583225,148.1496733,17.61904859,5.391595228
PN8345,10/23/2018 14:01,-20.058367,148.149653,17.55153619,5.384705089
PN8345,10/23/2018 14:01,-20.0584115,148.1496325,17.60217049,5.391594748
PN8345,10/23/2018 14:01,-20.05845617,148.1496118,17.65280479,5.415523279
